miRNA,coefficient.TCGA,HR.TCGA,CI_95%.TCGA,p_value_wald_test.TCGA,coefficient.PMP,HR.PMP,CI_95%.PMP,p_value_wald_test.PMP
hsa-miR-1298-3p,1,2.71,1.15-6.4,2.33E-02,0.57,1.77,1.14-2.77,1.16E-02
hsa-miR-4489,0.9,2.46,1.52-3.99,2.60E-04,1.52,4.57,1.04-20.09,4.43E-02
hsa-miR-3622a-3p,0.78,2.19,1.33-3.61,2.20E-03,0.94,2.57,1.52-4.36,4.56E-04
hsa-miR-511-3p,0.51,1.66,1.15-2.4,7.13E-03,0.66,1.93,1.4-2.67,6.30E-05
hsa-miR-4664-5p,0.41,1.51,1.15-1.99,3.11E-03,0.72,2.05,1.3-3.22,1.99E-03
hsa-miR-584-3p,0.39,1.48,1.16-1.89,1.38E-03,0.16,1.17,1-1.37,4.85E-02
hsa-miR-188-3p,0.26,1.29,1.09-1.53,2.90E-03,0.34,1.4,1.06-1.86,1.83E-02
hsa-miR-532-5p,0.23,1.26,1.1-1.43,5.34E-04,0.17,1.18,1.02-1.37,2.77E-02
hsa-miR-501-3p,0.21,1.24,1.1-1.39,3.05E-04,0.2,1.23,1.06-1.42,7.72E-03
hsa-miR-502-3p,0.2,1.23,1.06-1.42,5.38E-03,0.28,1.33,1.03-1.72,3.05E-02
hsa-miR-24-3p,0.18,1.2,1.01-1.41,3.38E-02,-0.26,0.77,0.61-0.98,3.72E-02
hsa-miR-584-5p,0.15,1.16,1.03-1.3,1.19E-02,0.17,1.19,1.02-1.37,2.36E-02
hsa-miR-196b-5p,0.12,1.12,1.05-1.21,1.51E-03,0.09,1.09,1.01-1.18,2.32E-02
hsa-miR-100-5p,-0.11,0.9,0.84-0.96,1.13E-03,-0.09,0.92,0.84-0.99,3.73E-02
hsa-miR-323a-3p,-0.11,0.9,0.82-0.98,2.15E-02,-0.42,0.66,0.44-0.99,4.37E-02
hsa-miR-181c-5p,-0.13,0.88,0.79-0.99,3.46E-02,-0.18,0.84,0.72-0.97,2.18E-02
hsa-miR-551a,-0.12,0.88,0.79-0.98,2.51E-02,-0.32,0.73,0.59-0.9,3.77E-03
hsa-miR-142-3p,-0.14,0.87,0.76-1,4.93E-02,-0.23,0.8,0.68-0.93,5.11E-03
hsa-miR-181a-5p,-0.16,0.86,0.77-0.96,6.65E-03,-0.32,0.72,0.61-0.86,1.97E-04
hsa-miR-181b-5p,-0.15,0.86,0.77-0.96,8.58E-03,-0.2,0.82,0.7-0.95,9.85E-03
hsa-miR-224-3p,-0.15,0.86,0.75-0.99,3.00E-02,-0.38,0.68,0.47-1,4.71E-02
hsa-miR-181a-3p,-0.16,0.85,0.76-0.96,6.58E-03,-0.15,0.86,0.74-0.99,4.05E-02
hsa-miR-181b-3p,-0.16,0.85,0.76-0.96,5.73E-03,-0.16,0.85,0.75-0.96,1.03E-02
hsa-miR-100-3p,-0.22,0.8,0.67-0.96,1.63E-02,-0.99,0.37,0.15-0.95,3.91E-02
hsa-miR-125b-1-3p,-0.32,0.73,0.58-0.92,6.90E-03,-0.73,0.48,0.24-0.95,3.40E-02
hsa-miR-6715b-3p,-0.55,0.58,0.39-0.85,6.02E-03,-1.13,0.32,0.14-0.74,7.35E-03
