"","Name","Score"
"DNMT3A","DNMT3A",0.00237812128418549
"ZNRF1","ZNRF1",0.00535077288941736
"RPL14","RPL14",0.00728299643281807
"KDM5B","KDM5B",0.00951248513674197
"ATP2C1","ATP2C1",0.0120392390011891
"ZNF70","ZNF70",0.0148632580261593
"RPS6","RPS6",0.0148632580261593
"ZNF608","ZNF608",0.0179845422116528
"SMARCC1","SMARCC1",0.0214030915576695
"RBM8A","RBM8A",0.0291319857312723
"NAP1L1","NAP1L1",0.0291319857312723
"HNRNPDL","HNRNPDL",0.0334423305588585
"RAVER2","RAVER2",0.0429548156956005
"ZNF248","ZNF248",0.0481569560047562
"PCED1A","PCED1A",0.068370986920333
"CAMK2G","CAMK2G",0.0856123662306778
"CRIPT","CRIPT",0.100475624256837
"VAMP1","VAMP1",0.108353151010702
"DCAF17","DCAF17",0.116527942925089
"MRRF","MRRF",0.142835909631391
"USP46","USP46",0.152199762187872
"CHD9","CHD9",0.171819262782402
"KIAA1586","KIAA1586",0.214625445897741
"RYK","RYK",0.226070154577884
"ADAM22","ADAM22",0.249851367419738
"RIMKLB","RIMKLB",0.262187871581451
"SF3A3","SF3A3",0.274821640903686
"IGDCC4","IGDCC4",0.314506539833532
"PCGF3","PCGF3",0.314506539833532
"SETD9","SETD9",0.32832936979786
"BDP1","BDP1",0.342449464922711
"KIN","KIN",0.371581450653983
"TBC1D15","TBC1D15",0.401902497027348
"ZKSCAN1","ZKSCAN1",0.417508917954816
"SLC25A14","SLC25A14",0.423156956004755
"LEP","LEP",0.423156956004755
"ZC3H14","ZC3H14",0.433412604042806
"MAPKAPK3","MAPKAPK3",0.44961355529132
"NKD1","NKD1",0.466111771700357
"PURB","PURB",0.482907253269917
"CCNG1","CCNG1",0.483799048751486
"TMEM106B","TMEM106B",0.5
"SURF2","SURF2",0.513674197384067
"PDCD4","PDCD4",0.513674197384067
"EPC1","EPC1",0.517390011890606
"GATAD2B","GATAD2B",0.535077288941736
"ZNF667","ZNF667",0.543252080856123
"CCDC43","CCDC43",0.571343638525565
"NUDT5","NUDT5",0.601516052318668
"ITGB8","ITGB8",0.608799048751486
"G6PC3","G6PC3",0.627972651605232
"MTMR4","MTMR4",0.647443519619501
"PPM1A","PPM1A",0.647443519619501
"HNRNPA3","HNRNPA3",0.667211652794292
"GTDC1","GTDC1",0.714476813317479
"PAPOLG","PAPOLG",0.728299643281807
"MBD5","MBD5",0.741973840665874
"C11orf31","C11orf31",0.769173602853746
"SNX16","SNX16",0.792063020214031
"KLHL11","KLHL11",0.813912009512485
"PRPF4B","PRPF4B",0.813912009512485
"RNF121","RNF121",0.822681331747919
"ARPP19","ARPP19",0.881242568370987
"KIAA1919","KIAA1919",0.881242568370987
"NFATC2IP","NFATC2IP",0.904280618311534
"KCNK12","KCNK12",0.904280618311534
"HSPA9","HSPA9",0.927615933412604
"TWIST1","TWIST1",0.951248513674197
"CEP57L1","CEP57L1",1
"YY1","YY1",1
"GPR137C","GPR137C",1
"MKL2","MKL2",1
"KLHL7","KLHL7",1
"CLPX","CLPX",1
"BAG1","BAG1",1
"HMGB3","HMGB3",1
"SLC39A8","SLC39A8",1
"MED1","MED1",1
"UBAP2L","UBAP2L",1
"GAN","GAN",1
"DDHD1","DDHD1",1
"NPAS3","NPAS3",1
"SRRM2","SRRM2",1
"COPS2","COPS2",1
"BNC2","BNC2",1
"HCN1","HCN1",1
"LRP6","LRP6",1
"ITGA11","ITGA11",1
"FAM208B","FAM208B",1
"ZNF250","ZNF250",1
"TTC14","TTC14",1
"TPR","TPR",1
"CRP","CRP",1
"PTEN","PTEN",1
"SH3PXD2A","SH3PXD2A",1
"NYAP2","NYAP2",1
"C11orf87","C11orf87",1
"ZNF536","ZNF536",1
"SH3BGRL2","SH3BGRL2",1
"SP8","SP8",1
"ZFP91","ZFP91",1
"CACNB4","CACNB4",1
"ARID2","ARID2",1
"BLOC1S5","BLOC1S5",1
"TULP4","TULP4",1
"TMEM168","TMEM168",1
"EXOC5","EXOC5",1
"NUAK1","NUAK1",1
"TTN","TTN",1
"GREB1","GREB1",1
"SMAD2","SMAD2",1
"TLL2","TLL2",1
"CTDSPL2","CTDSPL2",1
"KLF12","KLF12",1
"SLC7A11","SLC7A11",1
"TMEM254","TMEM254",1
